title,link,published,summary
Remarks at a UN Security Council Briefing on the Situation in the Middle East - United States Mission to the United Nations,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vdXN1bi51c21pc3Npb24uZ292L3JlbWFya3MtYXQtYS11bi1zZWN1cml0eS1jb3VuY2lsLWJyaWVmaW5nLW9uLXRoZS1zaXR1YXRpb24taW4tdGhlLW1pZGRsZS1lYXN0LTE3L9IBAA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Remarks at a UN Security Council Briefing on the Situation in the Middle East  United States Mission to the United Nations
The Biden Administration and the Middle East in 2023 - Arab Center Washington DC,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vYXJhYmNlbnRlcmRjLm9yZy9yZXNvdXJjZS90aGUtYmlkZW4tYWRtaW5pc3RyYXRpb24tYW5kLXRoZS1taWRkbGUtZWFzdC1pbi0yMDIzL9IBAA?oc=5,"Wed, 04 Jan 2023 08:00:00 GMT",The Biden Administration and the Middle East in 2023  Arab Center Washington DC
On the Horizon 2023 | Middle East - Wilson Center,https://news.google.com/rss/articles/CBMiPWh0dHBzOi8vd3d3LndpbHNvbmNlbnRlci5vcmcvYXJ0aWNsZS9ob3Jpem9uLTIwMjMtbWlkZGxlLWVhc3TSAQA?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT",On the Horizon 2023 | Middle East  Wilson Center
How can the Middle East and North Africa manage the region's water crisis? - World Economic Forum,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LndlZm9ydW0ub3JnL2FnZW5kYS8yMDIzLzAxL21pZGRsZS1lYXN0LW5vcnRoLWFmcmljYS1tZW5hLXdhdGVyLWNyaXNpcy1pbmR1c3RyeS1sZWFkZXJzLXNvbHV0aW9ucy_SAQA?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT",How can the Middle East and North Africa manage the region's water crisis?  World Economic Forum
What Does Israel's New Government Mean for the Israeli-Palestinian Conflict? - United States Institute of Peace,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnVzaXAub3JnL3B1YmxpY2F0aW9ucy8yMDIzLzAxL3doYXQtZG9lcy1pc3JhZWxzLW5ldy1nb3Zlcm5tZW50LW1lYW4taXNyYWVsaS1wYWxlc3Rpbmlhbi1jb25mbGljdNIBAA?oc=5,"Thu, 05 Jan 2023 22:13:56 GMT",What Does Israel's New Government Mean for the Israeli-Palestinian Conflict?  United States Institute of Peace
New Arab allies face dilemma as Israel shifts hard-right - Reuters.com,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3dvcmxkL21pZGRsZS1lYXN0L25ldy1hcmFiLWFsbGllcy1mYWNlLXF1YW5kYXJ5LWlzcmFlbC1zaGlmdHMtaGFyZC1yaWdodC0yMDIzLTAxLTA1L9IBAA?oc=5,"Fri, 06 Jan 2023 08:00:00 GMT",New Arab allies face dilemma as Israel shifts hard-right  Reuters.com
Four things to watch out for in the Middle East in 2023 - CNN,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wMS8wMi9taWRkbGVlYXN0L2ZvdXItdGhpbmdzLW1pZGVhc3QtMjAyMy1taW1lLWludGwvaW5kZXguaHRtbNIBUGh0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjMvMDEvMDIvbWlkZGxlZWFzdC9mb3VyLXRoaW5ncy1taWRlYXN0LTIwMjMtbWltZS1pbnRs?oc=5,"Mon, 02 Jan 2023 08:00:00 GMT",Four things to watch out for in the Middle East in 2023  CNN
Middle East Quartet no longer relevant to Israel-Palestinian conflict - editorial - The Jerusalem Post,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3Lmpwb3N0LmNvbS9vcGluaW9uL2FydGljbGUtNzI2Nzg40gEA?oc=5,"Thu, 05 Jan 2023 08:00:00 GMT",Middle East Quartet no longer relevant to Israel-Palestinian conflict - editorial  The Jerusalem Post
Culture of hope: 2022 and the margins of victory in Palestine - Middle East Monitor,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm1pZGRsZWVhc3Rtb25pdG9yLmNvbS8yMDIzMDEwMS1jdWx0dXJlLW9mLWhvcGUtMjAyMi1hbmQtdGhlLW1hcmdpbnMtb2YtdmljdG9yeS1pbi1wYWxlc3RpbmUv0gFsaHR0cHM6Ly93d3cubWlkZGxlZWFzdG1vbml0b3IuY29tLzIwMjMwMTAxLWN1bHR1cmUtb2YtaG9wZS0yMDIyLWFuZC10aGUtbWFyZ2lucy1vZi12aWN0b3J5LWluLXBhbGVzdGluZS9hbXAv?oc=5,"Sun, 01 Jan 2023 08:00:00 GMT",Culture of hope: 2022 and the margins of victory in Palestine  Middle East Monitor
Bahrain: The Tiny Island Playing a Big Role in the Middle East - The Wall Street Journal,https://news.google.com/rss/articles/CBMikwFodHRwczovL3d3dy53c2ouY29tL3ZpZGVvL3Nlcmllcy9zaGVsYnktaG9sbGlkYXkvYmFocmFpbi10aGUtdGlueS1pc2xhbmQtcGxheWluZy1hLWJpZy1yb2xlLWluLXRoZS1taWRkbGUtZWFzdC9EMEM2OTRDQS00RjBCLTQ0RDAtODg1OC03MDE0ODNGOEJFQTPSAQA?oc=5,"Tue, 03 Jan 2023 08:00:00 GMT",Bahrain: The Tiny Island Playing a Big Role in the Middle East  The Wall Street Journal
